No,Sektor,Isim,Rol,Sirket,Ulke,Yanit Olasiligi,LinkedIn,Sirket Web,Kaynak
95,Banking,Sheikh Saleh bin Mohamed Al Sharqi,Chairman,National Bank of Fujairah,BAE,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Saleh%20Al%20Sharqi%20National%20Bank%20of%20Fujairah,https://nbf.ae,https://nbf.ae/en/about-us/investor-relations/corporate-governance/board-of-directors
96,Banking,Adnan Anwar,CEO,National Bank of Fujairah,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adnan%20Anwar%20National%20Bank%20of%20Fujairah,https://nbf.ae,https://nbf.ae/en/about-us/investor-relations/corporate-governance/management-committees
97,Banking,Brian Mulholland,CFO,National Bank of Fujairah,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Brian%20Mulholland%20National%20Bank%20of%20Fujairah,https://nbf.ae,https://nbf.ae/en/about-us/investor-relations/corporate-governance/management-committees
98,Islamic Banking,Abdulrahman Mohamed Salem Alowais,Chairman,Sharjah Islamic Bank,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdulrahman%20Alowais%20Sharjah%20Islamic%20Bank,https://www.sib.ae,https://www.sib.ae/en/about-us/corporate-governance
99,Islamic Banking,Mohamed Ahmed Abdalla,CEO,Sharjah Islamic Bank,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mohamed%20Ahmed%20Abdalla%20Sharjah%20Islamic%20Bank,https://www.sib.ae,https://www.sib.ae/en/about-us/corporate-governance
100,Islamic Banking,Ghaith Al Midfa,Group CFO,Sharjah Islamic Bank,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ghaith%20Al%20Midfa%20Sharjah%20Islamic%20Bank,https://www.sib.ae,https://www.sib.ae/en/about-us/corporate-governance
101,Telecom,Jassem Mohamed Bu Ataba Alzaabi,Chairman,e& (Etisalat Group),BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Jassem%20Alzaabi%20e%26,https://www.eand.com,https://www.eand.com/en/whoweare/governance/board-of-directors.html
102,Telecom,Masood M. Sharif Mahmood,Group CEO,e& (Etisalat Group),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Masood%20Sharif%20Mahmood%20e%26,https://www.eand.com,https://www.eand.com/en/whoweare/senior-management.html
103,Telecom,Karim Bennis,Group CFO,e& (Etisalat Group),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Karim%20Bennis%20e%26%20Etisalat,https://www.eand.com,https://www.eand.com/en/whoweare/senior-management.html
104,Telecom,Malek Sultan Al Malek,Chairman,du (EITC),BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Malek%20Al%20Malek%20du%20EITC,https://www.du.ae,https://www.du.ae/about-us/investor-relations/board-of-directors
105,Telecom,Fahad Al Hassawi,CEO,du (EITC),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fahad%20Al%20Hassawi%20du%20EITC,https://www.du.ae,https://www.du.ae/management-team
106,Telecom,Kais Ben Hamida,CFO,du (EITC),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Kais%20Ben%20Hamida%20du%20EITC,https://www.du.ae,https://www.du.ae/management-team
107,Energy,Bader Saeed Al Lamki,CEO,ADNOC Distribution,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bader%20Al%20Lamki%20ADNOC%20Distribution,https://www.adnocdistribution.ae,https://www.adnocdistribution.ae/en/investor-relations/leadership
108,Energy,Wayne Beifus,CFO,ADNOC Distribution,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Wayne%20Beifus%20ADNOC%20Distribution,https://www.adnocdistribution.ae,https://www.adnocdistribution.ae/en/investor-relations/leadership
109,Energy,Fatema Mohamed Al Nuaimi,CEO,ADNOC Gas,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fatema%20Al%20Nuaimi%20ADNOC%20Gas,https://www.adnocgas.ae,https://www.adnocgas.ae/en/our-company/executive-management
110,Energy,Peter van Driel,CFO,ADNOC Gas,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Peter%20van%20Driel%20ADNOC%20Gas,https://www.adnocgas.ae,https://www.adnocgas.ae/en/our-company/executive-management
111,Petrochemicals,Hazeem Sultan Al Suwaidi,CEO,Borouge,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Hazeem%20Al%20Suwaidi%20Borouge,https://www.borouge.com,https://www.borouge.com
112,Petrochemicals,Jan-Martin Nufer,CFO,Borouge,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Jan-Martin%20Nufer%20Borouge,https://www.borouge.com,https://www.borouge.com
113,Energy / Utilities,Jasim Husain Thabet,Group CEO & MD,TAQA,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Jasim%20Husain%20Thabet%20TAQA,https://www.taqa.com,https://www.tq.com/about-taqa/leadership/executive-management/
114,Energy / Utilities,Adrian Kershaw,CFO,TAQA,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adrian%20Kershaw%20TAQA,https://www.taqa.com,https://www.zawya.com/en/press-release/people-in-the-news/taqa-appoints-new-chief-financial-officer-b6f7rusz
115,Utilities,Saeed Mohammed Al Tayer,MD & CEO,DEWA,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saeed%20Al%20Tayer%20DEWA,https://www.dewa.gov.ae,https://www.dewa.gov.ae/en/about-us/strategy-excellence/board-of-directors
116,Transport,Ibrahim Sultan Al Haddad,CEO,Salik Company,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ibrahim%20Al%20Haddad%20Salik,https://www.salik.ae,https://www.salik.ae/en/Investors/Overview
117,Transport,Maged Ibrahim,CFO,Salik Company,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Maged%20Ibrahim%20Salik,https://www.salik.ae,https://ar2025.salik.ae/en/strategic-review/cfo-review
118,Fertilizers,Ahmed El-Hoshy,CEO,Fertiglobe,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ahmed%20El-Hoshy%20Fertiglobe,https://www.fertiglobe.com,https://craft.co/fertiglobe/executives
119,Fertilizers,Andrew Tait,CFO,Fertiglobe,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Andrew%20Tait%20Fertiglobe,https://www.fertiglobe.com,https://craft.co/fertiglobe/executives
120,Holding,Syed Basar Shueb,CEO & MD,International Holding Company (IHC),BAE,Yüksek (profesyonel),https://ae.linkedin.com/in/syed-basar-shueb-uae,https://www.ihcuae.com,https://www.ihcuae.com/leadership
121,Restaurants,Amarpal Sandhu,CEO,Americana Restaurants,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Amarpal%20Sandhu%20Americana,https://www.americanarestaurants.com,https://www.americanarestaurants.com/our-leadership/
122,Restaurants,Rahul Mathur,CFO,Americana Restaurants,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Rahul%20Mathur%20Americana,https://www.americanarestaurants.com,https://www.americanarestaurants.com/our-leadership/
123,Food & Beverage,Khalifa Sultan Al Suwaidi,Chairman,Agthia Group,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Khalifa%20Al%20Suwaidi%20Agthia,https://www.agthia.com,https://www.agthia.com/board-of-directors/
124,Food & Beverage,Salmeen Al Ameri,MD & CEO,Agthia Group,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Salmeen%20Al%20Ameri%20Agthia,https://www.agthia.com,https://www.agthia.com/news/agthia-group-announces-ceo-transition-to-lead-companys-next-phase-of-growth/
125,Food & Beverage,Jeroen Nijs,CFO,Agthia Group,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Jeroen%20Nijs%20Agthia,https://www.agthia.com,https://www.agthia.com/news/meet-our-new-cfo/
126,Retail,Saifee Rupawala,CEO,Lulu Retail Holdings,BAE,Yüksek (profesyonel),https://www.linkedin.com/in/saifee-rupawala-ab2902207/,https://www.luluretail.com,https://www.luluretail.com/about-us/senior-management/
127,Retail,Prasad KK,CFO,Lulu Retail Holdings,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Prasad%20KK%20Lulu%20Retail,https://www.luluretail.com,https://www.luluretail.com/about-us/senior-management/
128,Aviation,Sheikh Abdullah Bin Mohammad Al Thani,Chairman,Air Arabia,BAE,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Bin%20Mohammad%20Al%20Thani%20Air%20Arabia,https://www.airarabia.com,https://www.airarabia.com/en/board-directors
129,Aviation,Adel Abdullah Ali,Group CEO,Air Arabia,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adel%20Abdullah%20Ali%20Air%20Arabia,https://www.airarabia.com,https://www.airarabia.com/en/group-ceo
130,Aviation,Adel Ahmad Al Soori,Group CFO,Emirates Airline,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adel%20Al%20Soori%20Emirates,https://www.emirates.com,https://www.emirates.com/english/about-us/our-people/leadership-team/
131,Aviation,Mohamed Mubarak Al Mazrouei,Chairman,Etihad Airways,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Mohamed%20Al%20Mazrouei%20Etihad,https://www.etihad.com,https://www.etihad.com/en/about-us/leadership
132,Aviation,Antonoaldo Neves,CEO,Etihad Airways,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Antonoaldo%20Neves%20Etihad,https://www.etihad.com,https://www.etihad.com/en/about-us/leadership
133,Aviation,Raffael Quintas,CFO,Etihad Airways,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Raffael%20Quintas%20Etihad,https://www.etihad.com,https://www.etihad.com/en/news/etihad-airways-appoints-raffael-quintas-as-chief-financial-officer
134,Investment Holding,Hamad Salem Al Ameri,MD & Group CEO,Alpha Dhabi Holding,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Hamad%20Al%20Ameri%20Alpha%20Dhabi,https://alphadhabi.com,https://alphadhabi.com/leadership/
135,Investment Holding,Fadi Sleiman,Group CFO,Alpha Dhabi Holding,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fadi%20Sleiman%20Alpha%20Dhabi,https://alphadhabi.com,https://alphadhabi.com/leadership/
136,Investment Holding,Samia Bouazza,Group CEO & MD,Multiply Group,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Samia%20Bouazza%20Multiply%20Group,https://2pointzero.com,https://2pointzero.com/who-we-are
137,Technology,Thomas Pramotedham,CEO,Presight AI,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Thomas%20Pramotedham%20Presight,https://www.presight.ai,https://www.presight.ai/leadership
138,Technology,Mauro Pavanello,CFO,Presight AI,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mauro%20Pavanello%20Presight,https://www.presight.ai,https://www.presight.ai/leadership
139,Luxury Retail,Patrick Chalhoub,Executive Chairman,Chalhoub Group,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Patrick%20Chalhoub%20Chalhoub%20Group,https://www.chalhoubgroup.com,https://www.chalhoubgroup.com/en/leadership
140,Luxury Retail,Michael Chalhoub,CEO,Chalhoub Group,BAE,Yüksek (profesyonel),https://ae.linkedin.com/in/michaelchalhoub,https://www.chalhoubgroup.com,https://www.chalhoubgroup.com/en/leadership
141,Luxury Retail,Tracey Griffin,CFO,Chalhoub Group,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Tracey%20Griffin%20Chalhoub%20Group,https://www.chalhoubgroup.com,https://www.chalhoubgroup.com/en/leadership
142,Banking,Ali bin Ahmed Al-Kuwari,Chairman,Qatar National Bank (QNB),Katar,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Ali%20Al-Kuwari%20QNB,https://www.qnb.com,https://www.qnb.com/cs/Satellite/QNBQatar/en_QA/enAboutQNBBoardofDirectors
143,Banking,Abdulla Mubarak Al-Khalifa,Group CEO,Qatar National Bank (QNB),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulla%20Mubarak%20Al-Khalifa%20QNB,https://www.qnb.com,https://www.qnb.com/cs/Satellite/QNBQatar/en_QA/enAboutQNBExecutiveManagement
144,Banking,Ramzi Talat Mari,Group CFO,Qatar National Bank (QNB),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ramzi%20Mari%20QNB,https://www.qnb.com,https://www.qnb.com/cs/Satellite/QNBQatar/en_QA/enAboutQNBExecutiveManagement
145,Banking,Sheikh Abdulla bin Ali Al Thani,Chairman,Commercial Bank of Qatar,Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Abdulla%20bin%20Ali%20Al%20Thani%20Commercial%20Bank%20Qatar,https://www.cbq.qa,https://www.cbq.qa/en/investor-relations/corporate-governance/board-of-directors
146,Banking,Stephen Moss,Group CEO,Commercial Bank of Qatar,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Stephen%20Moss%20Commercial%20Bank%20Qatar,https://www.cbq.qa,https://www.cbq.qa/en/about-us/news/list/commercial-bank-appoints-stephen-moss-as-group-chief-executive-officer
147,Banking,Noman Ali,CFO,Commercial Bank of Qatar,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Noman%20Ali%20Commercial%20Bank%20Qatar,https://www.cbq.qa,https://www.cbq.qa/en/about-us/executive-management
148,Islamic Banking,Sheikh Jassim bin Hamad Al Thani,Chairman,Qatar Islamic Bank (QIB),Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Jassim%20bin%20Hamad%20Al%20Thani%20Qatar%20Islamic%20Bank,https://www.qib.com.qa,https://www.qib.com.qa/en/board-of-directors/
149,Islamic Banking,Bassel Gamal,Group CEO,Qatar Islamic Bank (QIB),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bassel%20Gamal%20Qatar%20Islamic%20Bank,https://www.qib.com.qa,https://www.qib.com.qa/en/senior-management/
150,Islamic Banking,Gourang Hemani,CFO,Qatar Islamic Bank (QIB),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Gourang%20Hemani%20Qatar%20Islamic%20Bank,https://www.qib.com.qa,https://www.qib.com.qa/en/senior-management/
151,Islamic Banking,Sheikh Mohamed bin Hamad Al Thani,Chairman,Masraf Al Rayan,Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Mohamed%20bin%20Hamad%20Al%20Thani%20Masraf%20Al%20Rayan,https://www.alrayan.com,https://www.alrayan.com/en/about-us/board
152,Islamic Banking,Fahad Abdulla Al Khalifa,Group CEO,Masraf Al Rayan,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fahad%20Al%20Khalifa%20Masraf%20Al%20Rayan,https://www.alrayan.com,https://www.alrayan.com/en/about-us/management
153,Islamic Banking,Saalim Mahmood,CFSO (CFO),Masraf Al Rayan,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saalim%20Mahmood%20AlRayan%20Bank,https://www.alrayan.com,https://www.alrayan.com/en/about-us/management
154,Banking,Sheikh Fahad bin Mohammad Al Thani,Chairman,Doha Bank,Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Fahad%20bin%20Mohammad%20Al%20Thani%20Doha%20Bank,https://www.dohabank.com,https://www.dohabank.com/about-us/board-of-directors/
155,Banking,Sheikh Abdulrahman bin Fahad Al Thani,Group CEO,Doha Bank,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulrahman%20bin%20Fahad%20Al%20Thani%20Doha%20Bank,https://www.dohabank.com,https://www.dohabank.com/about-us/executive-management/
156,Telecom,Sheikh Faisal bin Thani Al Thani,Chairman,Ooredoo,Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Faisal%20bin%20Thani%20Al%20Thani%20Ooredoo,https://www.ooredoo.com,https://www.ooredoo.com/en/who_we_are/governance_team/board-of-directors/
157,Telecom,Aziz Aluthman Fakhroo,MD & Group CEO,Ooredoo,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Aziz%20Aluthman%20Fakhroo%20Ooredoo,https://www.ooredoo.com,https://www.ooredoo.com/en/who_we_are/governance_team/group-executive-management/
158,Telecom,Abdulla Ahmad Al Zaman,Group CFO,Ooredoo,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulla%20Al%20Zaman%20Ooredoo,https://www.ooredoo.com,https://www.ooredoo.com/en/who_we_are/governance_team/group-executive-management/
159,Industrials,Saad Sherida Al-Kaabi,Chairman & MD,Industries Qatar,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saad%20Al-Kaabi%20Industries%20Qatar,https://iq.com.qa,https://iq.com.qa/en/about-iq/board-of-directors/his-excellency-mr-saad-sherida-al-kaabi/
160,Maritime / LNG,Sheikh Khalid bin Khalifa Al Thani,Chairman,Nakilat,Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Khalid%20bin%20Khalifa%20Al%20Thani%20Nakilat,https://www.nakilat.com,https://www.nakilat.com/boardofdirectors/
161,Maritime / LNG,Abdullah Al-Sulaiti,CEO,Nakilat,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al-Sulaiti%20Nakilat,https://www.nakilat.com,https://www.nakilat.com/management/
162,Maritime / LNG,Hani Abuaker,CFO,Nakilat,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Hani%20Abuaker%20Nakilat,https://www.nakilat.com,https://www.nakilat.com/management/
163,Utilities,Fahad Hamad Al-Mohannadi,General Manager,Qatar Electricity & Water (QEWC),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fahad%20Al-Mohannadi%20QEWC,https://www.qewc.com,https://www.qewc.com/qewc/en/about/leadership-management/
164,Utilities,Shahzad Gill,CFO,Qatar Electricity & Water (QEWC),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Shahzad%20Gill%20QEWC,https://www.qewc.com,https://www.qewc.com/qewc/en/about/leadership-management/
165,Maritime / Logistics,Sheikh Jassim bin Hamad bin Jassim Al Thani,Chairman,Qatar Navigation (Milaha),Katar,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Jassim%20bin%20Hamad%20Al%20Thani%20Milaha,https://www.milaha.com,https://www.milaha.com/en/board-directors
166,Maritime / Logistics,Fahad Saad Al-Qahtani,Group CEO,Qatar Navigation (Milaha),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fahad%20Al-Qahtani%20Milaha,https://www.milaha.com,https://www.milaha.com/en/executive-management
167,Maritime / Logistics,Akram Bashir Iswaiki,EVP Finance (Group CFO),Qatar Navigation (Milaha),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Akram%20Iswaiki%20Milaha,https://www.milaha.com,https://www.milaha.com/en/executive-management
168,Food & Beverage,Moutaz Al-Khayyat,Group Chairman,Baladna,Katar,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Moutaz%20Al-Khayyat%20Baladna,https://baladna.com,https://baladna.com/en/our-team
169,Food & Beverage,Marek Warzywoda,Group CEO,Baladna,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Marek%20Warzywoda%20Baladna,https://baladna.com,https://baladna.com/en/our-team
170,Food & Beverage,Saifullah Khan,Group CFO,Baladna,Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saifullah%20Khan%20Baladna,https://baladna.com,https://baladna.com/en/our-team
171,Energy,Ahmad Saif Al-Sulaiti,Chairman,Qatar Fuel (Woqod),Katar,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Ahmad%20Saif%20Al-Sulaiti%20Woqod,https://www.woqod.com,https://www.woqod.com/website/en/about-us/leadership/detailed/boardmembers
172,Energy,Saad Rashid Al-Muhannadi,CEO & MD,Qatar Fuel (Woqod),Katar,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saad%20Al-Muhannadi%20Woqod,https://www.woqod.com,https://www.woqod.com/website/en/about-us/leadership/detailed/executivemanagement
173,Banking,Hamad Mohamed Al-Bahar,Chairman,National Bank of Kuwait (NBK),Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Hamad%20Al-Bahar%20National%20Bank%20of%20Kuwait,https://www.nbk.com,https://www.nbk.com/about-nbk-group/who-we-are.html
174,Banking,Isam Jasem Al-Sager,Vice-Chairman & Group CEO,National Bank of Kuwait (NBK),Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Isam%20Al-Sager%20National%20Bank%20of%20Kuwait,https://www.nbk.com,https://www.nbk.com/about-nbk-group/who-we-are.html
175,Banking,Sujit Ronghe,Group CFO,National Bank of Kuwait (NBK),Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Sujit%20Ronghe%20National%20Bank%20of%20Kuwait,https://www.nbk.com,https://www.nbk.com/about-nbk-group/who-we-are.html
176,Islamic Banking,Hamad Abdulmohsen Al-Marzouq,Chairman,Kuwait Finance House (KFH),Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Hamad%20Al-Marzouq%20Kuwait%20Finance%20House,https://www.kfh.com,https://www.kfh.com/en/home/Personal/aboutus/Islamic-Banking-Pioneers.html
177,Islamic Banking,Khaled Yousef Al-Shamlan,Group CEO,Kuwait Finance House (KFH),Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Khaled%20Al-Shamlan%20Kuwait%20Finance%20House,https://www.kfh.com,https://www.kfh.com/en/home/Personal/news/2025/KFH-Appoints-Khaled-AlShamlan-as-KFH-Group-CEO.html
178,Islamic Banking,Abdulkarim Abdullah Al-Samdan,Group CFO,Kuwait Finance House (KFH),Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulkarim%20Al-Samdan%20Kuwait%20Finance%20House,https://www.kfh.com,https://www.kfh.com/en/home/Personal/aboutus/Islamic-Banking-Pioneers.html
179,Banking,Ahmad Mohammad Al-Bahar,Chairman,Gulf Bank,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Ahmad%20Al-Bahar%20Gulf%20Bank%20Kuwait,https://www.e-gulfbank.com,https://www.e-gulfbank.com/en/about-us/media/press-releases/2025/01/ahmad-mohammad-al-bahar-appointed-chairman-of-gulf-banks-board-of-directors/
180,Banking,Waleed Khaled Mandani,Acting CEO,Gulf Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Waleed%20Mandani%20Gulf%20Bank%20Kuwait,https://www.e-gulfbank.com,https://www.e-gulfbank.com/en/about-us/executives/executive-management/
181,Banking,David Challinor,CFO,Gulf Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=David%20Challinor%20Gulf%20Bank%20Kuwait,https://www.e-gulfbank.com,https://www.e-gulfbank.com/en/about-us/executives/executive-management/
182,Islamic Banking,Abdulaziz Abdullah Dakheel Al-Shaya,Chairman,Boubyan Bank,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdulaziz%20Al-Shaya%20Boubyan%20Bank,https://www.bankboubyan.com,https://www.bankboubyan.com/en/who-we-are/board-of-directors
183,Islamic Banking,Adel Abdul Wahab Al-Majed,Vice-Chairman & Group CEO,Boubyan Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adel%20Al-Majed%20Boubyan%20Bank,https://www.bankboubyan.com,https://www.bankboubyan.com/en/who-we-are/board-of-directors
184,Islamic Banking,Mohamed Ibrahim Ismail,Group CFO,Boubyan Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mohamed%20Ibrahim%20Ismail%20Boubyan%20Bank,https://www.bankboubyan.com,https://www.bankboubyan.com/en/who-we-are/executive-management
185,Banking,Fadel Mahmoud Abdullah,Group CEO,Burgan Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fadel%20Abdullah%20Burgan%20Bank,https://www.burgan.com,https://www.zawya.com/en/business/banking-and-insurance/fadel-abdullah-appointed-burgan-banks-ceo-kuwait-ujww1dxg
186,Banking,Khalid Fahed Al-Zouman,CFO,Burgan Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Khalid%20Al-Zouman%20Burgan%20Bank,https://www.burgan.com,https://www.marketscreener.com/quote/stock/BURGAN-BANK-K-P-S-C-6493132/company-governance/
187,Islamic Banking,Shaheen Hamad Al-Ghanem,CEO,Warba Bank,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Shaheen%20Al-Ghanem%20Warba%20Bank,https://www.warbabank.com,https://www.warbabank.com/english/annual-reports/home/the-corporate-governance-report/the-executive-management
188,Telecom,Nour Nael Ahmed Al-Jassim,Chair of the Board,Zain Group,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Nour%20Al-Jassim%20Zain%20Group,https://www.zain.com,https://www.marketscreener.com/news/zain-group-appoints-nour-nael-ahmed-al-jassim-as-chair-ce7e50ded080f127
189,Telecom,Ossama Matta,Group CFO,Zain Group,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ossama%20Matta%20Zain%20Group,https://www.zain.com,https://zain.com/en/press/zain-group-announces-senior-management-changes-and
190,Logistics,Tarek Sultan Al-Essa,Chairman,Agility,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Tarek%20Sultan%20Agility,https://www.agility.com,https://agility.com/about-us/leadership/
191,Logistics,Henadi Al-Saleh,CEO & Board Member,Agility,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Henadi%20Al-Saleh%20Agility,https://www.agility.com,https://agility.com/about-us/leadership/
192,Logistics,Ehab Aziz,CFO,Agility,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ehab%20Aziz%20Agility,https://www.agility.com,https://agility.com/about-us/leadership/
193,Education / Holding,Tareq Fahad Al-Othman,Chairman,Humansoft Holding,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Tareq%20Al-Othman%20Humansoft,https://www.human-soft.com,https://www.human-soft.com/governance/
194,Education / Holding,Prof. Dr. Georges El Yahchouchy,CEO,Humansoft Holding,Kuveyt,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Georges%20El%20Yahchouchy%20Humansoft,https://www.human-soft.com,https://www.human-soft.com/about/
195,FMCG,Muntaser Jassim Al-Wazzan,Chairman,Mezzan Holding,Kuveyt,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Muntaser%20Al-Wazzan%20Mezzan%20Holding,https://www.mezzan.com,https://www.mezzan.com/our-company/board-of-directors/
